,Username,Datetime,Tweet Id,Text,Sentiment
0,Financi43129186,2020-06-29 23:48:36+00:00,1.27775E+18,@DoctorKarl do you have any thoughts on the fluoride in the water case that is in court now in the US?,0
1,greenbenali,2020-06-29 23:41:03+00:00,1.27775E+18,"@DrSextonGreen @martin_farley @TomPashby @TheGreenParty I don’t disagree. 

But with a member led policy process that’s easier said than done. 

I once had 30 people shout at me for a workshop because I suggested we remove our conspiratorial anti-Fluoride policy.",0
2,turizemptuj,2020-06-29 23:39:45+00:00,1.27775E+18,"@michaelgove What about an educational reform not involving kowtowing to the agrochemical multinationals by carrying on adding fluoride to the parts of children not involved in #fluorothink advertising? https://t.co/XHsMqMrPSN
https://t.co/mC1NVdicaf
https://t.co/cCej4gT1oM #fluorothinkometer",NA
3,DermottKayleigh,2020-06-29 23:29:38+00:00,1.27775E+18,fluoride in the water is BRAINWASHING AND KILLING OUR KIDS &lt;3 what happened to the WHOLESOME america I grew up in!!,-1
4,LumpyTheCook,2020-06-29 23:20:38+00:00,1.27774E+18,@EpicFunnyName @fmtovvns fluoride,NA
5,DeclanWaugh,2020-06-29 23:18:58+00:00,1.27774E+18,@rodericogorman @philkearney @DCYAPress Now that your Minister for #children with responsibility for #disabilities maybe you might get around to reading the studies I sent you showing a causative association between fluoride intake &amp; childhood developmental disorders including ADHD. For example https://t.co/XDXtitPInE,-1
6,rjSarafan,2020-06-29 23:13:15+00:00,1.27774E+18,"@MaryAliceBisho2 @RadioFreeTom I disagree. Many Americans are bad people. They've been so before Trump. Anti-vaxxers, crazed Evangelicals, Anti-Fluoride, Republican Voters.... etc.",1
7,rjSarafan,2020-06-29 23:11:19+00:00,1.27774E+18,"@scott_squires @RadioFreeTom But we've had these people operating since before Trump. Anti-vaxxers, anti-fluoride, Bundy type anti-Fed gun nuts, crazed, murderous evangelicals and the list goes on...",1
8,ChemistryNews,2020-06-29 22:59:04+00:00,1.27774E+18,Synthesis of a d1-titanium fluoride kagome lattice antiferromagnet https://t.co/DVVe9E1uNC https://t.co/N7FDUifQg0,NA
9,BrianGoodlife,2020-06-29 22:55:41+00:00,1.27774E+18,"@Ameripundit2020 Armed couple in St. Louis, attorneys and Democrat, probably wont switch allegiances. They'll just keep on listening to the Commies and nod, spittle running down their chins. Is it Fluoride in the water, soy or chicken hormones? Id like to know how we now have a nation of puzzies.",-1
10,Fiel_Laurentien,2020-06-29 22:53:31+00:00,1.27774E+18,The interdimensional reptilian shapeshifting CIA mantids are causing AI mossad deepfake falseflag by masonic predictive program hydroxyonloquino weather manipulation Monsanto fluoride trails to distract moloch crisis actors from the fact that fake news aliens are hollow and that,NA
11,FluoridePoison,2020-06-29 22:48:26+00:00,1.27774E+18,#Fluoride industrial waste disposers will soon be out of business unless they get creative and extract $$$$$ value through immobilization rather than dumping https://t.co/eDjXf1VcKP,-1
12,KarlaParussel,2020-06-29 22:45:43+00:00,1.27774E+18,@fronteirastl Do you realize that fluoridation is the most monstrously conceived and dangerous Communist plot we have ever had to face?,-1
13,oddiiisee,2020-06-29 22:42:36+00:00,1.27773E+18,"avoid ~ aspartame, sodium nitrate, fluoride, msg, rBGH, sodium benzoate, carrageenan, saccharin, high fructose corn syrup, acesulfame potassium, sucralose, red 1,2,3 and 40, blue1 and 2, green3, yellow5 and 6 ~ in your ingredients. and much more! 

i am not a scientist",-1
14,eddedmondson,2020-06-29 22:39:13+00:00,1.27773E+18,"@AndrewHolding I guess the fluoride not being there is because you expect all the paste to be ingested.
Not sure you'd like liver flavour either.",-1
15,AndrewHolding,2020-06-29 22:37:53+00:00,1.27773E+18,@eddedmondson Why does my toothpaste not have this. And why no fluoride.,1
16,RyuKaiser29,2020-06-29 22:33:15+00:00,1.27773E+18,"@ChicagoFdTruck @greg_price11 @Timcast Oh yes, your insults about my critical thinking have changed my mind. Vaccines are bad, get the fluoride out of our water, PUT JESUS BACK IN SCHOOLS OMG COVID WAS A HOAX!

Meanwhile I have mountains of data from pretty much everyone agreeing Covid is a thing, nothing from you.",-1
17,shazlandia,2020-06-29 22:31:15+00:00,1.27773E+18,"@stclairashley So has this👇
Recipe for disaster 
Fluoride
GMOs
Microwaves
Boxed processed package food items
Chemtrails 
Vaccines 
Common core 
Universities",-1
18,kaitlynboudreau,2020-06-29 22:27:48+00:00,1.27773E+18,"@maggiearchibald @grace_levy Ideally, as long as preventative care (IE: cleanings, xrays, checkups, fluoride, etc) are covered, that would life a huge financial burden. Elective dentistry like orthodontics (unless for reasons that MSI would cover like jaw surgery for occlusal issues) likely won’t ever change",NA
19,heasmalls,2020-06-29 22:23:12+00:00,1.27773E+18,"@errrrric @jrsfubar @Oregonian 😂😂😂😂😂😂 #WearAMask ....I think next we have to get rid of #fluoride in our water system, so there won’t be sooooo many dumb asses in #Oregon",-1
20,CommunityOral,2020-06-29 22:22:30+00:00,1.27773E+18,"@FluorideFreeWA as #NGO, we seek for the well-being of the people we serve. In #Nigeria, #fluoride levels varies, so the need for a simple test kit to check water fluoride to advice appropriately on the need for even fluoridated #toothpaste or not and not just water fluoridation",0
21,KatLaRue7,2020-06-29 22:12:15+00:00,1.27773E+18,@Luhhrennn @leathelioness2 @JaiKanta22 @lewbloch @Just4TheCause @crabb_vicki @runhack @CBereel @doritmi @AnitaSummers57 @harryetaylor @WorkVaccines @BGLTHMND @versewriter @Vorknyx12 @bloody_scandal @AndrewLazarus4 @pennington_dora @LaLaRueFrench75 @green_cait @Alex55683245 @MyNameIsEarlB @LiamKav @flitesurgn @jen95873143 @troydee @fusepark @ChamberDisciple @LaughlandMorgan @bunny_09 @sleeper_awoke @Da12adore @BetteanneC @kevinault @rocza @GrumFromNorwich @ShonadMcDermott @retire_young_38 @Takethatdoctors @jdSRO159 @michaelmina_lab @margie_moo @carlsmythe @RogueTrader84 @mmelgar09 @ParentMindInc @Marikatt77 @QTent2016 @heartistsince11 @JulieAMcLean I noticed that. I think the “hitler” question was about fluoride??,NA
