,Username,Datetime,Tweet Id,Text,Sentiment
0,Jidgettewynn,2020-12-29 23:59:01+00:00,1.34407E+18,"@ashishkjha @SpoxHHS On top of which if we repeat polio at 53% vaccination of total population, as the last experiment in mass vaccination, means that we will spend the next 20-40 YEARS vaccinating the next generation to get *Covid 19 under control*. Did I get that right?",-1
1,RampKingdom,2020-12-29 23:51:03+00:00,1.34407E+18,"They should put @ChickfilA in charge of vaccination, bcz if they do it as fast as they do their drive thru we’ll be out of this by March...",0
2,RamboGage,2020-12-29 23:49:43+00:00,1.34407E+18,"Democrats want mandatory vaccinations and require that certificates of vaccination be issued. Why not issue a Voter ID card at the same time? Oh...wait, democrats know Voter ID will prevent cheating so they’ll pass on that. https://t.co/IgxMO6Wik8",-1
3,duoscottmcon,2020-12-29 23:46:47+00:00,1.34407E+18,#Covid19 Millionaire POTUS-ELECT BIDEN will immediately vaccinate 200 millon people +? Mr Biden fought for the CDC to work the distribution &amp; vaccination plans. Mr Trump had offered another distribution but acceded.,0
4,marvinpcummings,2020-12-29 23:45:48+00:00,1.34407E+18,"@wsbtv 👨🏿🤳🏿Be crazy if you could administer the vaccination to those already infected with the virus and, I don't know, have it heal those infected.
😣😣😣 
👇🏿👇🏿👇🏿 https://t.co/h0QUTZsrKn",0
5,HeelStCloud,2020-12-29 23:42:39+00:00,1.34407E+18,The current Covid vaccination protect against this strain too. https://t.co/6W12MUFnBy,1
6,RobMeekel,2020-12-29 23:40:37+00:00,1.34407E+18,@kinsellawarren Justin says  “let’s be clear: this is not the time for a vacation abroad.” Why not. Many Canadians will get thier vaccination in Florida or Arizona before they even have a chance in Canada.,0
7,DetroitOwl,2020-12-29 23:39:46+00:00,1.34407E+18,"At Current Rate, a Successful Vaccination Effort in U.S. Would Take Nearly 10 Years: Study

https://t.co/WPvaPWZkzA",-1
8,ItzGetty,2020-12-29 23:37:29+00:00,1.34407E+18,What's the point of the vaccination? https://t.co/yGEmNWnZdX,-1
9,Judicoop1964,2020-12-29 23:28:40+00:00,1.34406E+18,"Americans love interstate highways, public education, public education, vaccination and public health programs, affordable higher education, public transportation, national parks, insurances of all kinds. Not radical at all. https://t.co/Sv3TAvGZFN",0
10,releu,2020-12-29 23:21:10+00:00,1.34406E+18,"@jonk Ok, that's though. This vaccination cannot go ahead fast enough...",-1
11,dadakim,2020-12-29 23:16:33+00:00,1.34406E+18,My “Mama Alicia” (mom to my best friend growing up) is a hospital chaplain and I’ve been so worried about her during this pandemic given the medical “care” Black women receive. Today she got her first vaccination and that’s some of the best news I’ve gotten in 2020. #VaccinesWork,1
12,listen2edwin,2020-12-29 23:12:35+00:00,1.34406E+18,My aunt just got her Covid 19 vaccination. “First dose”. I’m just waiting to see if she grow an extra arm or some shit in the next few weeks.,-1
13,KrisColvin,2020-12-29 23:06:23+00:00,1.34406E+18,Sweet effing Jesus. Now mother says she doesn’t want the vaccination. I CANNOT TAKE MUCH MORE CRAP.,1
14,wrizal,2020-12-29 22:57:43+00:00,1.34406E+18,"Makes sense: vaccination of workers and contractors, especially those that have to work on site, in close proximity to one another.

Makes no sense: vaccination of board members, who work remotely, comfortably, and aren't responsible for day to day decisions

🤦🏻‍♂️🤦🏻‍♂️🤦🏻‍♂️ https://t.co/hFA5s7qHqp https://t.co/aztmNO5seo",0
15,AndrewDonovan,2020-12-29 22:57:09+00:00,1.34405E+18,"Congratulations to Evan Bailey! To my knowledge, he’s the first member of the @NewsChannel9 family to get his coronavirus vaccination. 

He directs the broadcasts from the control room but he got his vaccine today because all other hours, he’s a proud volunteer firefighter. https://t.co/RtDMbS4hFa",1
16,HeelStCloud,2020-12-29 22:55:45+00:00,1.34405E+18,"@Nick34shady Yep, I got mine last week. It’s a 2 shot vaccination. The booster is 21 to 28 days after your first and it is going to make you a bit under weather cause the immune system is responding how it’s supposed to.",1
17,doxiemomdeb,2020-12-29 22:55:22+00:00,1.34405E+18,@realDonaldTrump Biden sure did fail - all my Swine Flu vaccination did was made me overeat and want to roll in mud! Sad!,-1
18,DouglasWhalley,2020-12-29 22:54:57+00:00,1.34405E+18,"@StevenDelDuca @josotoo @fordnation 1. Ford did not shut the province down until after Xmas Shopping was done
2. We shut down the vaccination centers for the holidays.
3. The Ont Fin Min takes a tropical vacation in a pandemic.
Business as usual for this incompetent Govt
#FordfailedOntario 
#CovidSuperspreaderFord",NA
19,magnanamo,2020-12-29 22:53:18+00:00,1.34405E+18,@Jeremy_Nolais @shandro Maybe Ty is going to show up in peoples driveways to help with the vaccination efforts?,NA
20,smashmario,2020-12-29 22:49:50+00:00,1.34405E+18,"I’m a little surprised that the US is #1 in number of vaccination doses administered. The pandemic was mishandled here, that might be the reason. Canada has very low vaccination rates, around 50k. China’s 1 mi is also low. Israel is the only one above 5%. https://t.co/Idt0URaoF1 https://t.co/nnJJh6N9bG",NA
21,TMathious,2020-12-29 22:43:50+00:00,1.34405E+18,@GovKemp @BrianKempGA when will educators be in line for #COVID19 #vaccination? https://t.co/h4ZrQh3F6T,1
22,TRainbowWarrior,2020-12-29 22:40:52+00:00,1.34405E+18,#vaccination https://t.co/YOBLvXFxXX,NA
23,rodeoman,2020-12-29 22:37:08+00:00,1.34405E+18,can’t wait for the first inter-vaccination-status couples,NA
24,AndrewDonovan,2020-12-29 22:33:37+00:00,1.34405E+18,When you see your friends and relatives get their vaccination (rightfully) first... https://t.co/1gTdzOvrSA,1
25,JeffMunoz11,2020-12-29 22:28:44+00:00,1.34405E+18,@amysurdam @stitchescare This is not right at all.19 mill. Vaccinations rolled out and only 2.some million distributed nationwide. Wide. So why is it that the State Health Department rolling out the vaccinations to the Clinics or Pharmacies Faster. Set up Vaccination Stations state wide and get it done.,1
26,CarolineCalcote,2020-12-29 22:25:03+00:00,1.34405E+18,Please let Biden and this crew get this vaccination show on the road!    🤞🏼 https://t.co/FEF1lYADgo,1
27,vmtocloud,2020-12-29 22:22:07+00:00,1.34405E+18,@CDCgov Are we gonna get Covid vaccination wrist bands like the movie Contaigion? https://t.co/IddJ2jZ2N6,NA
28,eaglerealtysc,2020-12-29 22:20:29+00:00,1.34405E+18,In contrast to the person on @WBTWNews13 - I will NOT feel safer if people are required to have the #covid #vaccination #CovidVaccine,-1
29,GageNHV,2020-12-29 22:17:12+00:00,1.34404E+18,"Vaccination testimony from the @newhavenindy 2020 New Havener of the year, @MaritzaBondmph https://t.co/3Xj3iAv5O8",NA
30,Rayaunaaa,2020-12-29 22:11:09+00:00,1.34404E+18,I think ima get the COVID vaccination..,1
31,yanki_reb102,2020-12-29 22:10:48+00:00,1.34404E+18,How screwed up is this system that a schmuck like Marco Rubio who called Covid-19 a hoax got his vaccination before the vice president elect? #SMH https://t.co/jux05z5yib,0
32,lghcox,2020-12-29 22:07:45+00:00,1.34404E+18,"@rudepundit He also ordered the first mandatory smallpox immunizations, in the military. Mind you, this was before the creation of vaccination as we know it today. It was more dangerous and very grotesque, but it worked.",1
33,Ceyx54,2020-12-29 22:00:49+00:00,1.34404E+18,"@NateSilver538 It seems to be because the Rep. administration refuses to stand up any kind of national, coordinated effort. 
They should be setting up vaccination centers in every town &amp; throwing tons of $ to health depts. to coordinate. 
Not to mention we have no national health service.",1
34,LovelyLassSandy,2020-12-29 21:56:36+00:00,1.34404E+18,Vaccination must to step up! Thank  God for incoming POTUS to ramp it up! All manufacturing drug companies need to jump in to make the Covid vaccine! Perfect time to use the Defense Authorization Act to have all manufacturing facilities of drug companies to produce the vaccine!,1
35,meg_renee22,2020-12-29 21:54:26+00:00,1.34404E+18,Covid-19 Vaccination pt. 1 ✅,NA
36,Neil_Iyengar,2020-12-29 21:48:51+00:00,1.34404E+18,"So grateful to the scientific community, essential workers, research funders, and industry partners. The rapid development of the COVID-19 vaccination inspires us to imagine how far we can go together and what global health burden we will tackle next. https://t.co/VgobF4gdVJ",1
37,anis_farooqui,2020-12-29 21:34:59+00:00,1.34403E+18,"Province of Ontario 🇨🇦 hopes 8.5 million people vaccinated against #COVID-19 🦠 by July, says Gen(r)Rick Hillier, head of the vaccination distribution task force.

Nearly 14,000 people have received the first shot of the two-dose Pfizer vaccine so far.
https://t.co/xPwUO0Nqk6",0
